Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Nucleus/Cell area ratio	Subcellular: Channel 2: Num spots estimated	Subcellular: Channel 2: Num single spots	Subcellular: Channel 2: Num clusters	Subcellular: Channel 3: Num spots estimated	Subcellular: Channel 3: Num single spots	Subcellular: Channel 3: Num clusters	ROI: 1.00 px per pixel: Green: Mean	ROI: 1.00 px per pixel: Green: Std.dev.	ROI: 1.00 px per pixel: Green: Min	ROI: 1.00 px per pixel: Green: Max	ROI: 1.00 px per pixel: Green: Median	ROI: 1.00 px per pixel: Red: Mean	ROI: 1.00 px per pixel: Red: Std.dev.	ROI: 1.00 px per pixel: Red: Min	ROI: 1.00 px per pixel: Red: Max	ROI: 1.00 px per pixel: Red: Median
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	ea67e996-1486-4c54-aeee-318cb8f80d19	Cell			Annotation	Polygon	139.03	747.54	498	91.9961	0.7394	34.5494	21.1145	0.7737	27.0375	13681	8.4753	66	6	60	1.5751	797	1.8421	13	0	13	25.1087	12705	19.3577	85	3	82	812	112.3094	0.809	42.7185	24.8324	0.8171	24.8715	8.8786	66	3	1.5838	1.8252	13	0	23.8972	17.8946	85	3	21.3473	8.3886	47	3	1.5981	1.8003	7	0	21.926	15.039	85	3	0.617	0	0	0	204	31	13	1.5819	1.8199	0	13	0	24.1501	18.0594	3	85	18.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	4663ed96-9b47-4596-9814-230808dbc27d	Cell			Annotation	Polygon	725.92	765.12	1954	167.9048	0.871	63.326	40.8072	0.763	17.324	34007	6.3306	50	3	47	1.9012	3732	2.145	13	0	13	28.8324	56598	16.5156	85	3	82	2772	194.9324	0.9167	72.3058	49.8153	0.7221	14.1193	7.5108	50	0	2.022	2.3468	17	0	30.8479	19.3095	85	0	6.3625	3.3046	28	0	2.3144	2.7548	17	0	35.7263	24.1266	85	0	0.7069	0	0	0	851	185	64	2.0246	2.3467	0	17	3.5	30.9436	19.2867	0	85	25.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	91721932-93db-4f4d-aa7d-a612ee9499bc	Cell			Annotation	Polygon	268.64	772.39	1088	127.4243	0.842	49.6072	26.6199	0.8338	31.3156	34228	15.8187	85	3	82	0.9113	996	1.5685	13	0	13	11.2068	12249	11.8909	74	0	74	1729	156.0565	0.8922	58.5857	35.9913	0.7897	21.8987	17.7016	85	0	0.9068	1.5687	13	0	10.566	11.7401	80	0	5.6898	2.5535	18	0	0.8992	1.5704	10	0	9.463	11.4011	80	0	0.6325	0	0	0	146	51	12	0.8965	1.5545	0	13	0	10.6341	11.7672	0	80	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	1ad2d18e-e493-44dd-999d-ff1555c8ee9e	Cell			Annotation	Polygon	832.53	767.99	715	99.2301	0.9125	32.7018	28.851	0.4206	25.8204	18694	18.6336	85	3	82	2.6506	1919	2.1789	13	0	13	27.3066	19770	23.7716	85	0	85	1232	126.4828	0.9677	41.736	37.8821	0.38	17.4752	17.528	85	0	2.3144	2.2381	13	0	27.489	24.3017	85	0	5.5582	2.9612	32	0	1.8343	2.2361	13	0	27.7495	25.0606	85	0	0.5824	0	0	0	347	44	20	2.3028	2.2112	0	13	3.5	26.9354	24.203	0	85	21.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	16e92577-9e53-4489-ba38-b75acad29f45	Cell			Annotation	Polygon	122.81	775.74	1430	171.7997	0.6088	63.7363	33.544	0.8564	27.449	39307	12.5503	85	3	82	1.5279	2188	1.8159	10	0	10	17.8722	25593	10.4689	85	3	82	2131	192.037	0.7261	72.6329	39.9283	0.8505	24.4702	12.4703	85	3	1.4852	1.7828	10	0	17.7318	10.8287	85	0	18.3501	9.7905	63	3	1.3974	1.7107	10	0	17.4433	11.5353	83	0	0.6741	0	0	0	307	129	23	1.4914	1.786	0	10	0	17.6587	10.7776	0	85	14.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	fca81110-ccd8-4cb3-8a73-14a58a6dac23	Cell			Annotation	Polygon	792.84	785.72	686	97.6786	0.9035	32.7728	28.4135	0.4975	24.7741	17218	20.0147	85	3	82	1.7108	1189	1.86	7	0	7	6.0604	4212	10.5853	79	0	79	1202	125.5635	0.958	41.729	37.8211	0.4	17.0558	18.0388	85	0	1.46	1.8456	10	0	8.8158	14.9788	85	0	6.4337	5.2255	47	0	1.1149	1.7702	10	0	12.6079	18.8306	85	0	0.5754	0	0	0	51	14	5	1.4708	1.8508	0	10	0	8.4115	14.4718	0	85	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	2625d259-8488-4158-a9b7-3a463361bc97	Cell			Annotation	Polygon	938.44	792.82	1222	132.8989	0.8694	43.5399	36.582	0.5213	21.338	26011	7.8442	50	3	47	1.4824	1807	1.7293	11	0	11	14.8285	18076	12.7702	85	0	85	1864	157.7685	0.9411	52.5721	45.2315	0.4549	17.4829	9.343	50	0	1.4695	1.8069	15	0	15.6613	14.4649	85	0	10.2195	7.424	44	0	1.4451	1.9458	15	0	17.2303	17.1117	85	0	0.6581	0	0	0	226	65	16	1.4447	1.7941	0	15	0	15.5826	14.5036	0	85	11.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	f41385ec-216a-4996-9d82-4f213d70bb0a	Cell			Annotation	Polygon	994.77	797.04	1435	164.1269	0.6694	59.3916	38.8451	0.7791	32.4638	46683	15.8535	85	3	82	1.5974	2297	1.951	13	0	13	19.2058	27618	12.3024	84	0	84	2159	182.7694	0.8122	66.7609	46.7894	0.7287	26.2643	16.3402	85	3	1.5522	1.9071	13	0	20.7274	14.1003	85	0	13.9848	8.4379	44	3	1.4628	1.8151	7	0	23.741	16.7182	85	0	0.6675	0	0	0	418	135	31	1.5628	1.9023	0	13	0	20.5326	13.5704	0	85	18.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	2a1d494d-01a8-4fa4-a55c-a5709fa743ef	Cell			Annotation	Polygon	32.34	811.92	784	101.6671	0.9532	34.9647	30.4199	0.4229	25.9322	20279	11.5769	63	3	60	3.9783	3111	2.9238	17	0	17	15.8465	12392	9.0033	65	3	62	1256	127.4574	0.9716	42.5275	39	0.3031	18.275	13.5833	63	0	3.1765	2.9112	17	0	16.6844	10.1226	65	0	5.6954	3.5762	31	0	1.8592	2.3609	10	0	18.0609	11.6115	65	0	0.6166	0	0	0	156	89	7	3.2348	2.9149	0	17	3.5	16.8676	10.2241	0	65	14.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	22a25ea4-1735-4cfe-8843-670711a71c93	Cell			Annotation	Polygon	109.41	814.75	593	92.3647	0.8735	32.7584	24.9964	0.6467	27.6336	16442	8.713	70	3	67	1.595	949	1.8116	7	0	7	14.4084	8573	7.246	56	3	53	988	117.8023	0.8947	41.7035	32.0034	0.673	21.1421	11.6746	70	0	1.5534	1.7995	7	0	16.7419	10.3582	84	0	11.4131	8.3067	41	0	1.4912	1.7818	7	0	20.2393	13.0115	84	0	0.5968	0	0	0	124	61	8	1.5558	1.8037	0	7	0	16.5691	10.1962	0	84	14.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	54a1f64b-b19c-4270-aad1-bec022e5b499	Cell			Annotation	Polygon	144.66	817.67	563	89.3124	0.8869	30.5832	24.8191	0.5338	32.4146	18217	8.9046	67	12	55	1.7295	972	1.9508	13	0	13	19.0658	10715	11.2161	77	3	74	928	113.7815	0.9008	40.1122	31.8004	0.5833	28.2361	10.681	67	3	1.6352	1.8632	13	0	20.7071	13.1545	85	3	21.8892	10.0152	57	3	1.4919	1.7143	7	0	23.2	15.3296	85	3	0.6019	0	0	0	149	70	10	1.6356	1.8586	0	13	0	20.5098	12.995	3	85	18.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	e6c87dcc-1e76-4010-8035-77e2e82cc857	Cell			Annotation	Polygon	177.05	813.23	499	93.4156	0.7186	36.3108	18.8067	0.8589	27.3929	13806	9.2951	57	6	51	0.996	502	1.6249	10	0	10	12.5417	6321	11.1469	65	0	65	876	118.0464	0.79	42.4982	27.7034	0.7598	19.7049	12.2019	57	0	1.067	1.7764	13	0	12.4177	10.8717	65	0	9.4271	6.909	38	0	1.1618	1.9591	13	0	12.252	10.5049	54	0	0.5704	0	0	0	80	21	7	1.029	1.7739	0	13	0	11.9721	10.6859	0	65	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	0fb10eea-b563-48db-ba54-e88d13141c8e	Cell			Annotation	Polygon	252.71	829.69	1074	127.44	0.831	46.8896	32.2398	0.7493	35.1839	38069	19.5943	85	3	82	1.0157	1099	1.5343	7	0	7	11.6895	12648	16.7459	85	0	85	1717	155.8659	0.8881	57.3441	41.7621	0.6999	24.3976	21.0418	85	0	0.8987	1.472	7	0	12.1851	16.6638	85	0	6.0472	2.8419	22	0	0.6997	1.3373	7	0	13.0283	16.5022	85	0	0.6302	0	0	0	175	29	13	0.9098	1.4777	0	7	0	12.4154	16.9705	0	85	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	20f08ab4-b973-40fb-9902-a54c6b23ffde	Cell			Annotation	Polygon	655.74	844.81	1461	159.1977	0.7244	66.6884	30.5292	0.894	24.4792	35911	11.2331	72	3	69	1.8609	2730	2.1105	13	0	13	14.2686	20932	14.3216	85	0	85	2228	186.9838	0.8008	75.1441	38.8439	0.8633	17.9843	12.8943	72	0	1.4895	1.9618	13	0	13.808	15.8114	85	0	5.4803	2.4117	18	0	0.7743	1.3819	7	0	12.9213	18.3198	85	0	0.6589	0	0	0	246	65	20	1.493	1.9619	0	13	0	14.0407	16.0006	0	85	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	d4d9b563-a437-4cfe-87ba-e9f3866d80fe	Cell			Annotation	Polygon	85.96	832.71	554	91.445	0.8325	31.6488	25.1091	0.5435	31.864	17812	23.2838	85	3	82	1.8444	1031	1.9146	10	0	10	19.195	10730	11.4444	72	0	72	916	112.3516	0.9119	39.2921	30.4843	0.6183	21.9086	22.1589	85	0	1.6736	1.8758	10	0	19.518	12.3442	84	0	6.45	4.3557	41	0	1.4083	1.7843	7	0	20.0194	13.6256	84	3	0.6102	0	0	0	173	69	14	1.6707	1.8615	0	10	0	19.6302	12.4191	0	84	18.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	a666dad3-42f0-4db1-9a33-0213afd58ddc	Cell			Annotation	Polygon	973.28	834.95	706	104.966	0.8052	37.4461	27.1296	0.7406	23.1246	16511	8.0109	57	6	51	1.5994	1142	1.8708	7	0	7	16.5322	11804	10.2989	73	3	70	1120	125.417	0.8948	44.626	32.7678	0.6664	20.0107	9.4673	60	3	1.645	2.1652	24	0	16.0687	10.589	77	0	14.5479	9.3589	60	3	1.7248	2.6031	24	0	15.2555	11.0455	77	0	0.6378	0	0	0	144	60	11	1.6175	2.1035	0	24	0	16.0452	10.6434	0	77	14.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	0477a65f-ea5e-4560-b896-66805b6a4753	Cell			Annotation	Polygon	1009.2	836.67	656	99.8081	0.8275	33.7131	26.8159	0.5575	34.3055	22573	18.4655	85	3	82	1.2644	832	1.7887	10	0	10	15.2143	10011	11.3306	54	0	54	966	117.3916	0.8809	40.1375	31.8503	0.4938	27.8171	18.5758	85	3	1.3936	1.8515	10	0	16.4855	11.5014	58	0	14.0452	8.6566	44	3	1.6677	1.9532	10	0	19.1839	11.4129	58	0	0.677	0	0	0	151	57	13	1.3788	1.8398	0	10	0	16.2907	11.4617	0	58	14.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	959806e6-0812-43f1-9022-b6341c6e267f	Cell			Annotation	Polygon	55.53	853.59	769	115.8249	0.7203	40.0141	30.6441	0.6578	27.3325	21046	7.8046	57	9	48	1.1597	893	1.5583	7	0	7	13.5805	10457	7.1145	65	3	62	1141	132.865	0.8122	48.1693	36.4916	0.608	24.0786	9.4703	57	3	1.2707	1.6803	10	0	15.6218	8.5689	65	3	17.3973	9.0848	47	3	1.4987	1.8884	10	0	19.8133	9.7123	62	3	0.6727	0	0	0	109	55	6	1.2723	1.6755	0	10	0	15.4111	8.4257	3	65	14.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	17866e1f-1ea0-472f-a36c-55490aabcc5d	Cell			Annotation	Polygon	172.62	844.81	246	62.8786	0.7819	23.486	13.1179	0.8204	28.1566	7011	7.4105	55	9	46	1.1647	290	1.5401	7	0	7	13.4096	3339	8.6775	54	0	54	522	86.4093	0.8785	32.0856	21	0.7768	26.0114	9.0406	55	3	1.2933	1.6327	10	0	15.8971	10.907	85	0	24.0761	9.9141	54	3	1.4094	1.7064	10	0	18.1413	12.1702	85	0	0.4691	0	0	0	62	23	5	1.2562	1.5687	0	7	0	15.463	10.8146	0	85	11.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	3a2a7ed1-55e5-474e-b038-dfccd632b0cf	Cell			Annotation	Polygon	575.9	858.72	768	104.6202	0.8817	35.9734	28.4237	0.5848	22.7086	17690	19.8784	85	3	82	0.9807	764	1.577	7	0	7	5.3556	4172	7.9527	62	0	62	1317	132.067	0.9489	45.5431	37	0.5297	15.5004	17.5933	85	0	0.7661	1.4325	7	0	4.8213	7.3004	62	0	5.1402	2.1468	12	0	0.4576	1.1265	7	0	4.0535	6.1712	50	0	0.5873	0	0	0	25	14	1	0.7606	1.4321	0	7	0	4.6664	7.1006	0	62	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	85b98b5a-8693-4496-b786-a3b8606d9a4b	Cell			Annotation	Polygon	863.22	863.41	861	112.1498	0.8602	42.3791	27.0593	0.7705	29.6559	25771	21.1998	85	3	82	1.7422	1514	2.0451	11	0	11	18.3924	15983	19.4444	85	0	85	1426	139.7921	0.917	51.3417	36.767	0.7048	20.1428	20.3917	85	0	1.5388	1.9423	11	0	16.3751	18.5999	85	0	5.3804	2.3174	16	0	1.2232	1.7259	7	0	13.2446	16.7495	85	0	0.6095	0	0	0	212	55	18	1.5464	1.9445	0	11	0	16.5999	18.7017	0	85	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	bbd1f663-8486-4fd7-b435-bc76ed67ebdd	Cell			Annotation	Polygon	144.44	876.98	2435	216.8173	0.6509	70.7034	54.3597	0.5621	38.0354	92502	11.415	85	6	79	1.1172	2717	1.6159	10	0	10	12.0485	29302	8.2854	58	0	58	3402	235.3739	0.7717	79.5971	63.1406	0.5852	33.7576	13.4505	85	3	1.1206	1.6242	10	0	13.22	9.7899	73	0	23.0103	12.1117	67	3	1.1291	1.6457	10	0	16.1632	12.3361	73	0	0.7159	0	0	0	278	170	12	1.1202	1.6201	0	10	0	13.2466	9.9045	0	73	11.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	46d5100f-ed36-4cb3-b982-1ead6ef2a7d6	Cell			Annotation	Polygon	84.76	864.35	353	73.4724	0.8217	26.7354	19.8739	0.6618	28.932	10213	8.3398	60	12	48	1.4958	528	1.8573	7	0	7	17.847	6300	8.8169	55	3	52	593	92.9311	0.8629	33.6597	25.165	0.579	25.9798	9.0216	60	3	1.4017	1.7983	7	0	17.8891	8.6114	55	3	21.6736	8.2238	53	3	1.2645	1.7032	7	0	17.9504	8.3202	47	3	0.5938	0	0	0	90	41	7	1.3938	1.7763	0	7	0	17.7774	8.6864	3	55	18.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	17a1cd18-3405-46c6-b1cf-eafbac09e40b	Cell			Annotation	Polygon	1011.2	875.72	706	105.6806	0.7944	38.8882	23.9094	0.8003	25.8652	18235	8.756	54	3	51	1.7957	1266	1.9124	10	0	10	15.0539	10613	7.1512	54	3	51	1009	121.8048	0.8546	44.3052	28	0.758	21.14	11.1214	54	0	1.7712	1.9304	10	0	16.2929	8.34	80	0	10.3592	7.9905	47	0	1.7152	1.973	10	0	19.1197	10.0173	80	0	0.693	0	0	0	104	58	7	1.8067	1.9451	0	10	3.5	16.3459	8.4247	0	80	14.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	ada90b39-312f-4e35-a26e-13f3d75804ec	Cell			Annotation	Polygon	410.08	875.39	1379	154.3873	0.727	62.6035	27.0666	0.9032	23.7967	33006	11.6508	67	3	64	0.8198	1137	1.4251	7	0	7	6.8183	9457	5.5006	39	0	39	2133	182.1552	0.8078	71.7903	36.0259	0.8675	17.3897	12.8769	67	0	0.7051	1.3473	7	0	6.5383	5.6897	59	0	5.5883	2.5075	18	0	0.494	1.1625	7	0	6.0226	5.9921	59	0	0.6541	0	0	0	25	25	0	0.7055	1.3481	0	7	0	6.5278	5.673	0	59	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	404ad5a1-ccfc-44d4-93f2-7fde3fc978d1	Cell			Annotation	Polygon	806.41	877.92	679	98.1797	0.8852	32.2722	28.7376	0.4406	11.356	7688	10.0953	60	0	60	1.6337	1106	2.0602	10	0	10	12.2511	8294	17.1055	85	0	85	1176	123.9053	0.9626	41.2481	37	0.3758	8.5969	8.4249	60	0	1.3971	1.9651	10	0	14.0128	17.3314	85	0	4.8537	2.1771	16	0	1.0762	1.7807	10	0	16.4028	17.3667	85	0	0.578	0	0	0	145	32	11	1.4003	1.9732	0	10	0	13.9905	17.3915	0	85	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	5b968c23-3f13-4bd9-acba-a04bb37db7e0	Cell			Annotation	Polygon	39.25	887.9	1711	166.0074	0.7802	60.2034	41.6601	0.7641	25.4595	43663	9.3695	60	3	57	1.4262	2446	1.7613	15	0	15	21.1977	36354	11.5147	72	3	69	2320	185.9645	0.843	66.4911	46.3941	0.7401	22.7809	10.2733	60	0	1.3534	1.7564	15	0	21.3117	12.5301	85	0	15.2253	8.8539	51	0	1.148	1.7271	10	0	21.6332	15.0353	85	0	0.7376	0	0	0	467	159	34	1.3631	1.7553	0	15	0	21.5563	12.6669	0	85	18.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	519eb1de-ebc8-444c-afab-44a3984bbe90	Cell			Annotation	Polygon	716.55	901.09	1662	167.7481	0.7422	64.4986	32.8181	0.8716	32.0974	53410	9.8635	70	6	64	1.9639	3268	2.0209	13	0	13	11.4093	18985	12.5095	85	0	85	2460	190.8597	0.8486	73.4719	41.7802	0.8255	25.0724	13.716	70	0	1.6984	1.9874	13	0	11.1106	12.2384	85	0	10.3869	7.6916	51	0	1.1432	1.7937	10	0	10.4862	11.6344	85	0	0.6751	0	0	0	185	61	18	1.6965	1.9868	0	13	0	11.1254	12.1985	0	85	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	2456dcb4-4525-4dd9-8934-b3d8609e989b	Cell			Annotation	Polygon	88.76	895.27	667	100.7189	0.8263	35.1029	26.7668	0.6451	31.8917	21495	22.1228	85	3	82	1.5371	1036	1.8388	13	0	13	10.4036	7012	9.7466	70	0	70	1083	120.7096	0.934	41.7384	34.5758	0.5259	23.458	21.0583	85	0	1.4174	1.8122	13	0	10.8449	9.7246	70	0	9.5599	7.5888	40	0	1.22	1.7519	7	0	11.5721	9.6561	54	0	0.6217	0	0	0	78	27	8	1.3799	1.7981	0	13	0	10.5028	9.5699	0	70	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	88c2c01c-e471-429f-902a-8ba12f9746f4	Cell			Annotation	Polygon	273.68	922.15	1160	136.8217	0.7787	49.5919	32.5096	0.7824	25.9158	30166	9.2822	69	3	66	0.982	1143	1.471	10	0	10	9.7397	11337	6.701	85	0	85	1726	160.9834	0.8369	55.311	42.363	0.6725	19.7475	12.0707	69	0	0.9519	1.473	10	0	11.5906	9.4221	85	0	6.9947	5.2393	50	0	0.8899	1.4765	7	0	15.4174	12.5682	85	0	0.6757	0	0	0	115	65	6	0.9517	1.4733	0	10	0	11.7648	9.4509	0	85	11.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	217a4356-034a-42cd-bde8-8a2c3396405d	Cell			Annotation	Polygon	237.03	915.95	527	87.0595	0.8738	29.482	23.1079	0.5146	26.7068	14208	24.3064	85	0	85	0.9154	487	1.5618	7	0	7	20.9192	11129	22.4706	85	0	85	890	112.2658	0.8874	37.6925	29.4189	0.6024	17.9127	21.6276	85	0	0.9171	1.5438	7	0	19.6708	20.809	85	0	4.9529	2.2024	12	0	0.9197	1.519	7	0	17.831	17.9568	85	0	0.5952	0	0	0	180	26	11	0.9099	1.5353	0	7	0	19.5843	20.8476	0	85	11.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	e007d325-d82b-433f-93b4-8d74b8eddf19	Cell			Annotation	Polygon	667.08	918.03	701	106.0499	0.7833	35.9281	28.0283	0.5666	30.5952	21539	13.1002	79	3	76	0.9716	684	1.5465	10	0	10	15.0128	10569	15.0408	85	0	85	1114	126.9371	0.8688	43.2224	36.5251	0.4592	23.5455	15.0428	79	0	0.9652	1.526	10	0	15.2714	16.3045	85	0	11.6154	9.6158	53	0	0.9543	1.4923	7	0	15.7091	18.2557	85	0	0.6311	0	0	0	135	33	13	0.9692	1.5207	0	10	0	15.2833	16.314	0	85	11.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	d56b0cf9-248a-46e5-9a7c-98f83c41cc20	Cell			Annotation	Polygon	966.3	916.8	573	89.88	0.8913	28.8148	26.414	0.322	11.8776	6889	13.3146	70	0	70	0.6724	390	1.3088	7	0	7	9.2052	5339	11.8708	70	0	70	1044	116.3249	0.9695	37.9055	35	0.2646	8.7828	10.6022	70	0	0.6833	1.3512	7	0	8.6239	10.7251	70	0	4.9226	2.1889	12	0	0.6968	1.4037	7	0	7.8989	9.0566	55	0	0.5501	0	0	0	66	23	7	0.6748	1.3476	0	7	0	8.6689	10.676	0	70	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	62c49c9b-05f4-442f-b901-5efa59c17133	Cell			Annotation	Polygon	922.63	924.79	662	97.4502	0.876	30.6091	28.7878	0.2727	21.7181	14486	21.9359	85	0	85	1.1874	792	1.631	7	0	7	5.4018	3603	7.2843	58	0	58	1166	123.2783	0.9641	40.1837	37.7714	0.2449	14.5432	18.5686	85	0	1.0017	1.5768	11	0	4.8948	6.5666	58	0	5.01	2.1365	18	0	0.755	1.4675	11	0	4.2211	5.4032	36	0	0.57	0	0	0	33	12	3	0.9879	1.5663	0	11	0	4.9188	6.5995	0	58	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	a0247325-2bd1-4633-aa05-8ee916b329f5	Cell			Annotation	Polygon	854.06	930.74	798	108.0704	0.8586	33.8207	31.3107	0.3296	30.4082	24357	22.2956	85	0	85	1.3258	1062	1.7713	13	0	13	20.3683	16315	27.0824	85	0	85	1347	132.4729	0.9645	42.9847	40.5012	0.2863	19.9244	21.3787	85	0	1.2659	1.7317	13	0	18.44	25.444	85	0	4.6284	2.0911	12	0	1.1785	1.6701	10	0	15.6266	22.5739	85	0	0.5967	0	0	0	259	13	13	1.2759	1.7365	0	13	0	18.5774	25.5189	0	85	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	2aac62bd-8ba5-4dfe-a9c8-a67cdc625efb	Cell			Annotation	Polygon	87.22	925.15	154	46.4646	0.8964	15.7233	12.0405	0.5837	17.0125	2722	16.6306	72	0	72	1.0125	162	1.423	3	0	3	21.3937	3423	13.4413	72	3	69	430	74.5332	0.9727	24.6409	22.0908	0.3966	10.0951	11.848	72	0	0.8863	1.3939	7	0	17.7912	14.3152	77	0	6.0111	3.9483	28	0	0.8118	1.3736	7	0	15.6642	14.413	77	0	0.3598	0	0	0	66	24	6	0.8852	1.3941	0	7	0	17.9856	14.0976	0	77	14.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 5_max_merged.tif	93c6a597-8bc7-42cf-89b1-757fe5397b30	Cell			Annotation	Polygon	44.27	935.36	737	100.5809	0.9155	35.3307	27.7431	0.5664	33.2649	24616	15.6807	85	3	82	0.8284	613	1.4376	7	0	7	11.1973	8286	8.3649	54	0	54	1154	124.7016	0.9325	43.393	36.1157	0.528	24.3581	17.718	85	0	0.8503	1.4478	7	0	11.1393	8.814	54	0	8.5144	6.5396	50	0	0.8894	1.4668	7	0	11.0361	9.5706	43	0	0.6376	0	0	0	69	45	3	0.8506	1.4494	0	7	0	11.0536	8.751	0	54	7.5
